WhichDoYouWearMostFrequent,YourFavoriteLegcareBrand,Registration Gender,NumberOfChildren,DoYouPurchaseForOthers,HowDoYouDressForWork,HowManyPairsDoYouPurchase,YourFavoriteLegwearBrand,WhoMakesPurchasesForYou,NumberOfAdults,HowDidYouHearAboutUs,SendEmail,HowOftenDoYouPurchase,HowDidYouFindUs,City,US State,Email,Truck Owner,RV Owner,Motorcycle Owner,Marital Status,Working Woman,Mail Responder,Bank Card Holder,Gas Card Holder,Upscale Card Holder,Unknown Card Type,TE Card Holder,Premium Card Holder,Presence Of Children,Estimated Income Code,Home Market Value,New Car Buyer,Vehicle Lifestyle,Property Type,Loan To Value Percent,Presence Of Pool,Own Or Rent Home,Mail Order Buyer,DMA No Mail Solicitation Flag,DMA No Phone Solicitation Flag,New Bank Card,Speciality Store Retail,Oil Retail Activity,Bank Retail Activity,Finance Retail Activity,Miscellaneous Retail Activity,Upscale Retail,Upscale Speciality Retail,Retail Activity,Dwelling Size,Lendable Home Equity,Home Size Range,Lot Size Range,Dwelling Unit Size,Available Home Equity,Minority Census Tract,Gender,Occupation,Other Indiv\. Gender,Other Indiv\. Occupation,Year of Birth,Value Of All Vehicles,Age,Other Indiv\. Age,Number Of Adults,Year House Was Built,Length Of Residence,Year Home Was Bought,Home Purchase Date,Number Of Vehicles,CRA Income Classification,Number Of Credit Lines,Dataquick Market Code,Insurance Expiry Month,Month Home Was Bought,Year Of Structure,REQUEST_DAY_OF_WEEK,REQUEST_HOUR_OF_DAY,Customer ID,Clicks,Duration,Orderer
hosiery,Living Earth,,,False,business casual,11 to 15,Hanes,,,friend / family,True,every 6 months,,Baton Rouge,LA,EDU,False,False,False,Married,True,True,True,True,True,True,False,False,False,$50;000-$74;999,$1;000-$24;999,,IMPORT (STANDARD/ECONOMY),,0% (NO LOANS),False,Owner,True,True,True,False,True,False,True,True,False,True,False,False,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,,,,,,8000,34,,5,,15,1954,195401,1,,4,,,1,1954,Tuesday,6,38736,3,0:00:34,0
hosiery,Conair,,,False,business dress,15 or more,Round the Clock,,,other,True,,,Chesapeake,VA,COM,False,False,False,Married,True,True,True,False,False,False,False,False,True,$50;000-$74;999,$100;000-$124;999,True,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,Female,PROFESSIONAL/TECHNICAL,Male,,,,34,40,3,,6,1993,199312,1,,,,,12,1990,Wednesday,8,38740,5,0:00:38,0
,,,,False,,,,,,,True,,,Carrboro,NC,COM,False,False,False,Married,True,True,True,True,True,True,False,True,False,$125;000 OR MORE,$400;000-$449;999,True,REGULAR (MIDSIZE/SMALL),single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $300;000-$349;999,2;500-2;999 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $250;000-$499;999,False,,,,,,22000,,,3,1988,11,1989,198903,2,4,2,1,,3,1988,Friday,6,38756,18,0:09:00,0
casual socks,Tweezerman,,,False,business casual,1 to 5,DKNY,friend,,friend / family,True,every 6 months,,fairless hills,PA,COM,False,False,False,Single,False,True,True,True,True,True,False,False,True,$50;000-$74;999,$150;000-$174;999,,,misc\. residential (condo store/flat),80-84%,False,Owner,True,True,True,False,False,True,True,False,False,True,False,True,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,2;000-2;499 FT,1 ACRE OR LESS,MULTI FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,Male,,,,34,32,3,1969,3,1997,199703,2,3,4,,3,3,1970,Wednesday,17,38868,2,0:00:34,0
athletic socks,Natural Line,,,False,comfortable / athletic,15 or more,Hanes,,,friend / family,True,every 6 months,,rock hill,SC,NET,False,False,False,Married,True,True,True,True,False,False,False,False,True,$50;000-$74;999,$100;000-$124;999,True,,single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,,EQUITY $75;000-$99;999,,,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,Female,PROFESSIONAL/TECHNICAL,Male,,,,,38,2,,7,,,,3,,3,,,1984,Tuesday,16,38968,13,0:03:51,0
athletic socks,Epilady,,,False,comfortable / athletic,11 to 15,Danskin,,,friend / family,True,every 6 months,,Johnstown,PA,COM,False,False,False,Married,True,True,True,True,True,True,False,False,True,$30;000-$39;999,$1;000-$24;999,,,,,False,Owner,True,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $10;000-$19;9999,False,Female,CRAFTSMAN/BLUE COLLAR,Male,CRAFTSMAN/BLUE COLLAR,,,48,54,4,,11,1988,198811,2,3,3,,,11,1965,Thursday,12,39052,6,0:03:00,0
trouser socks,Nature Made,,,False,business casual,11 to 15,Hanes,,,other,True,every 6 months,,Baton Rouge,LA,COM,False,False,False,,False,True,True,True,True,True,False,True,True,$20;000-$29;999,$500;000-$774;999,True,IMPORT (STANDARD/ECONOMY),,0% (NO LOANS),False,Owner,False,True,True,False,False,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $400;000-$499;999,,,SINGLE FAMILY DWELLING UNIT,EQUITY $500;000-$749;999,False,,,,,,30000,30,,4,,4,1995,199512,2,,2,,,12,1965,Sunday,18,39168,8,0:01:33,0
casual socks,Lucky Chick,,,False,business casual,15 or more,Falke,,,friend / family,True,every 6 months,,stamford,CT,COM,False,False,False,Inferred Single,False,False,False,True,True,True,False,False,False,$75;000-$99;999,$50;000-$74;999,,,condo,,False,Owner,False,True,True,False,False,False,False,False,False,False,False,True,30-39 HOUSEHOLDS,,750-999 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,Female,,,,,,28,,1,1944,3,1997,199700,,,1,6,,,1976,Wednesday,8,39338,33,0:04:51,0
,,,,False,,,,,,,True,,,Edwards,CA,NET,False,False,False,Inferred Married,False,True,True,True,True,False,False,False,False,Under $15;000,,,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,,,,,,,,,4,,0,,,,,,,,,1999,Saturday,21,39450,7,0:05:54,0
casual socks,Conair,,,False,business casual,11 to 15,Hanes,,,friend / family,False,every 6 months,,Cincinnati,OH,COM,False,False,False,Single,True,True,True,True,False,False,False,False,False,Under $15;000,$50;000-$74;999,,REGULAR (MIDSIZE/SMALL),2-4 unit(duplex;triplex;quad),90-94%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,2;500-2;999 FT,1 ACRE OR LESS,MULTI FAMILY DWELLING UNIT,EQUITY $5;000-$9;999,False,Female,CLERICAL/WHITE COLLAR,,,,19000,30,,1,1910,1,1998,199804,2,,,,4,4,1940,Tuesday,20,39498,9,0:04:07,0
casual socks,Epilady,,,False,very casual,11 to 15,Hanes,,,other,True,every 6 months,,Lowell,MA,COM,False,False,False,Married,True,True,True,False,False,False,False,False,False,$50;000-$74;999,,True,IMPORT (STANDARD/ECONOMY),,,False,,True,True,True,False,False,False,False,False,True,False,False,False,10-19 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,Male,,,16000,60,68,3,,2,,,1,,,,,,1982,Saturday,18,39502,4,0:04:02,0
athletic socks,Nature Made,,,False,business casual,15 or more,Donna Karan,,,other,True,every 6 months,,McHenry,IL,NET,False,False,False,Married,True,True,True,True,False,True,False,False,True,$75;000-$99;999,$50;000-$74;999,True,PERSONAL LUXURY CAR,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,False,Female,ADMINISTRATIVE/MANAGERIAL,Male,PROFESSIONAL/TECHNICAL,,10000,42,42,2,,7,1993,199300,1,3,1,,,,1992,Sunday,13,39626,7,0:08:16,0
casual socks,Nature Made,,,False,very casual,1 to 5,Round the Clock,,,friend / family,True,every 6 months,,Placida,FL,COM,False,False,False,Married,False,False,False,False,False,False,False,False,False,$50;000-$74;999,,,IMPORT (STANDARD/ECONOMY),,,False,,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,,Male,,,17000,,54,2,,0,,,1,,,,,,1985,Thursday,19,39646,43,0:40:35,0
trouser socks,,,,False,very casual,15 or more,DKNY,,,e-mail,True,every 6 months,,montgomery,AL,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,5,39690,17,0:10:04,0
casual socks,Nature Made,,,False,business dress,,Hanes,,,other,True,once a year,,Madison,AL,COM,False,False,False,Married,True,False,True,True,False,False,False,False,False,$75;000-$99;999,$150;000-$174;999,,,,,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,,,,,,,,,2,,5,1995,199500,,,,,,,1997,Thursday,17,39816,6,0:01:32,0
hosiery,Nature Made,,,False,business casual,15 or more,Hanes,,,friend / family,True,every 6 months,,Hillsdale,NJ,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,7,39972,6,0:01:09,0
hosiery,Epilady,,,False,business casual,11 to 15,Donna Karan,,,other,True,every 6 months,,WOODBRIDGE,VA,NET,False,False,False,Married,True,True,True,True,True,False,False,False,False,$50;000-$74;999,$100;000-$124;999,True,,single family dwelling,80-84%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,Female,,Male,,,,,30,2,1964,3,1996,199604,2,,1,8,4,4,1964,Saturday,12,40036,3,0:00:57,0
athletic socks,Conair,,,False,very casual,1 to 5,DKNY,,,print ad,True,every 6 months,,euless,TX,COM,True,False,False,,True,True,True,True,False,True,False,False,True,$75;000-$99;999,$50;000-$74;999,True,IMPORT (STANDARD/ECONOMY),,,False,Owner,True,True,True,False,False,False,False,False,True,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,SALES/SERVICE,Female,CRAFTSMAN/BLUE COLLAR,,20000,34,34,2,,8,1992,199203,1,4,1,,,3,1963,Saturday,5,40048,3,0:02:14,0
casual socks,Tweezerman,,,False,business casual,11 to 15,DKNY,spouse,,in the news,True,,,medford,NJ,COM,False,False,False,Married,True,False,True,True,True,True,False,True,False,$100;000-$124;999,$125;000-$149;999,,,single family dwelling,100-99%,False,Owner,False,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,,,SINGLE FAMILY DWELLING UNIT,EQUITY $1-$4;999,False,Female,CLERICAL/WHITE COLLAR,Male,,,,40,44,2,,9,1990,199008,,4,3,4,8,8,1986,Monday,15,40140,24,0:10:59,0
casual socks,Nature Made,,,False,business casual,11 to 15,DKNY,,,other,True,once a year,,San Anselmo,CA,COM,False,False,False,Inferred Single,False,False,False,False,False,False,False,False,False,$50;000-$74;999,$300;000-$349;999,,,single family dwelling,,False,,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,LESS THAN 750 FT,,SINGLE FAMILY DWELLING UNIT,,False,,,,,,,,,1,,4,,,,4,,7,,,1900,Tuesday,11,40538,17,0:12:50,0
casual socks,Living Earth,,,False,very casual,1 to 5,DKNY,,,friend / family,True,every 6 months,,Sisters,OR,COM,False,False,False,Inferred Married,False,True,True,True,True,False,False,False,True,$50;000-$74;999,$175;000-$199;999,,,single family dwelling,70-74%,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,1;750-1;999 FT,GREATER THAN 1 ACRE,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,,Male,,,,32,30,2,1990,3,1997,199701,,3,,1,1,1,1987,Wednesday,9,40622,24,0:10:50,0
,,,,False,,,,,,,True,,,Houston,TX,NET,False,False,False,Inferred Married,False,False,True,False,False,True,False,False,True,$15;000-$19;999,$100;000-$124;999,True,,single family dwelling,,False,Owner,False,True,True,False,False,True,False,True,False,True,False,False,100+ HOUSEHOLDS,,1;750-1;999 FT,1 ACRE OR LESS,MULTI FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,,,,,,,46,,3,1981,2,1998,199800,2,2,3,5,,,1967,Thursday,8,40690,62,0:49:51,0
athletic socks,Dr\. Schon,,,False,comfortable / athletic,1 to 5,Danskin,,,friend / family,False,every 6 months,,Portland,OR,COM,False,False,False,Married,True,True,False,True,False,False,False,False,True,$15;000-$19;999,,,FULL SIZE (STANDARD/LUXURY),,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,Female,,Male,,,,40,38,4,,9,1991,199100,1,,,,,,1994,Monday,1,40706,19,0:09:31,0
trouser socks,Epilady,,,False,business dress,15 or more,DKNY,,,other,True,every 6 months,,rotan,TX,COM,False,False,False,Single,True,False,False,False,False,False,False,False,True,$20;000-$29;999,,,IMPORT (STANDARD/ECONOMY),,,False,Renter,False,True,True,False,False,False,False,False,False,False,False,False,2 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,PROFESSIONAL/TECHNICAL,,,,4000,50,,1,,1,,,1,,,,,,1993,Sunday,20,40782,3,0:01:09,0
trouser socks,DailyHerbs,,,False,business casual,11 to 15,DKNY,,,other,True,once a year,,Normal,IL,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,9,40906,20,0:11:31,0
hosiery,Tweezerman,,,False,business dress,,Hanes,,,print ad,False,each week,,Arlington,VA,COM,False,False,False,Single,False,False,False,False,False,False,False,False,False,$75;000-$99;999,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,,,,,MULTI FAMILY DWELLING UNIT,,False,,,,,,,,,1,,,,,,,,,,,,Friday,7,40910,30,0:25:43,0
hosiery,Kneipp,,,False,business casual,15 or more,Evan Picone,spouse,,friend / family,False,every 6 months,,Cleveland,OH,COM,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Thursday,7,40970,3,0:01:16,0
casual socks,,,,False,comfortable / athletic,11 to 15,,,,other,False,,,San Francisco,CA,COM,False,False,False,,False,True,True,True,True,True,False,True,True,$30;000-$39;999,$75;000-$99;999,True,PERSONAL LUXURY CAR,single family dwelling,75-79%,False,Owner,False,True,True,False,True,False,True,False,False,True,False,True,SINGLE HOUSEHOLD,EQUITY $1-$4;999,1;500-1;749 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $10;000-$19;9999,False,,,,,,55000,24,,5,1960,15,1981,198107,3,3,3,8,7,7,1960,Friday,14,41002,4,0:00:23,0
casual socks,,,,False,very casual,11 to 15,Hot Sox,parent,,e-mail,True,once a year,,Madison,WI,NET,False,False,False,Single,False,True,True,True,False,True,False,False,False,Under $15;000,,,,,,False,Renter,False,True,True,False,True,False,True,False,False,False,False,True,2 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,,,,,36,,1,,4,,,,,3,,,,1977,Wednesday,19,41066,1,0:00:00,0
athletic socks,,,,False,comfortable / athletic,11 to 15,Hanes,,,e-mail,True,once a year,,Tampa,FL,COM,False,False,False,Married,False,True,True,True,True,False,False,True,False,$100;000-$124;999,$175;000-$199;999,,PERSONAL LUXURY CAR,condo,70-74%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,100+ HOUSEHOLDS,EQUITY $10;000-$19;9999,1;750-1;999 FT,1 ACRE OR LESS,MULTI FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,,Male,ADMINISTRATIVE/MANAGERIAL,,40000,42,42,2,1983,7,1992,199204,2,4,,1,4,4,1900,Thursday,12,41098,5,0:01:07,0
trouser socks,eShave,,,False,very casual,15 or more,DKNY,,,other,True,every 6 months,,North Brunswick,NJ,COM,True,False,False,Married,False,True,True,True,True,True,False,True,False,$50;000-$74;999,$75;000-$99;999,True,SPECIALTY (MIDSIZE/SMALL),single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,True,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $50;000-$74;000,2;000-2;499 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,False,,,,,,21000,32,,5,1954,15,1980,198000,,2,3,6,,,1954,Thursday,8,41160,14,0:08:05,0
casual socks,Lucky Chick,,,False,business casual,11 to 15,Evan Picone,,,friend / family,True,every 6 months,,Flint,TX,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,5,41252,11,0:13:31,0
athletic socks,,,,False,business casual,11 to 15,Hanes,,,e-mail,True,,,St\. Clair Shores,MI,NET,True,False,False,Married,False,True,True,True,True,True,False,True,False,$50;000-$74;999,$50;000-$74;999,True,TRUCK OR UTILITY VEHICLE,,,False,Owner,True,True,True,False,False,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $10;000-$19;9999,False,,,,,,31000,50,,4,,10,1990,199000,2,,2,,,,1988,Saturday,14,41590,1,0:00:00,0
athletic socks,Nature Made,,,False,comfortable / athletic,11 to 15,Hanes,,,friend / family,True,once a year,,Jackson,NJ,NET,False,False,False,Single,True,True,True,True,True,False,False,True,False,$40;000-$49;999,$100;000-$124;999,,,single family dwelling,90-94%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,,,SINGLE FAMILY DWELLING UNIT,EQUITY $5;000-$9;999,False,,,,,,,34,,1,,8,1992,199201,2,3,,8,12,1,1992,Monday,14,41640,1,0:00:00,0
trouser socks,eShave,,,False,business casual,1 to 5,DKNY,,,other,True,,,White Plains,NY,COM,False,False,False,Inferred Single,False,True,True,True,True,True,False,False,False,$50;000-$74;999,,True,,,,False,Owner,True,True,True,False,True,False,False,False,False,False,False,True,50-99 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,Female,,,,,,26,,1,,3,1997,199700,,,2,,,,1979,Monday,6,41722,28,0:14:01,0
hosiery,Conair,,,False,business casual,11 to 15,Berkshire,,,friend / family,True,every 6 months,,Webster,NY,COM,False,False,False,,True,True,True,True,True,True,False,True,True,$20;000-$29;999,$50;000-$74;999,True,FULL SIZE (STANDARD/LUXURY),single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,False,True,False,True,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $50;000-$74;000,,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,SELF EMPLOYED CLERICAL,Female,,,6000,64,68,5,,15,1982,198200,1,3,3,3,,,1964,Saturday,8,41850,1,0:00:00,0
casual socks,Tweezerman,,,False,comfortable / athletic,1 to 5,Hanes,,,other,True,once a year,,north jackson,OH,COM,True,False,False,Married,True,True,True,True,True,True,False,False,True,$20;000-$29;999,$100;000-$124;999,,FULL SIZE (STANDARD/LUXURY),single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $75;000-$99;999,1;500-1;749 FT,GREATER THAN 1 ACRE,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,RETIRED,Male,RETIRED,,16000,66,74,2,1970,15,1980,198000,3,4,,2,,,1970,Thursday,22,41954,18,0:11:30,0
casual socks,Tweezerman,,,False,business dress,15 or more,Hanes,,,other,True,,,Dallas,TX,NET,True,False,False,Inferred Single,False,True,False,False,False,False,False,False,False,$50;000-$74;999,,,TRUCK OR UTILITY VEHICLE,,,False,,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,,,,,5000,38,,1,,1,,,,,,,,,1940,Sunday,19,41970,4,0:01:15,0
athletic socks,,,,False,very casual,15 or more,Hanes,,,other,False,every 6 months,,Saint Louis,MO,NET,False,False,False,Single,False,True,False,True,False,False,False,False,False,$30;000-$39;999,,,,,,False,Renter,False,True,True,False,False,False,False,False,False,False,False,False,4 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Male,SELF EMPLOYED,Male,,,,44,44,2,,4,,,,,,,,,1976,Sunday,22,41978,12,0:03:51,0
,,,,False,,,,,,friend / family,True,,,studio city,CA,COM,False,False,False,Single,False,True,True,False,False,True,True,False,False,$30;000-$39;999,$275;000-$299;999,,,single family dwelling,50-59%,False,Owner,True,True,True,False,False,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $50;000-$74;000,1;250-1;499 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,Male,RETIRED,,,,,54,,1,1946,13,1986,198612,,4,2,2,9,12,1946,Friday,23,42014,25,0:16:30,0
casual socks,DailyHerbs,,,False,business casual,15 or more,Danskin,,,friend / family,True,every 6 months,,edgewood,NM,NET,False,False,False,Married,False,True,True,False,False,True,False,False,False,$40;000-$49;999,$100;000-$124;999,,,single family dwelling,100-99%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,,,SINGLE FAMILY DWELLING UNIT,EQUITY $1-$4;999,False,Female,,Male,,,,,38,2,,1,1998,199812,1,,,8,12,12,1998,Saturday,0,42018,14,0:14:02,0
casual socks,Conair,,,False,very casual,11 to 15,Hanes,,,friend / family,True,every 6 months,,Kinderhook,IL,NET,False,False,False,Married,True,True,True,True,False,True,False,False,False,$30;000-$39;999,$25;000-$49;999,True,FULL SIZE (STANDARD/LUXURY),,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,CRAFTSMAN/BLUE COLLAR,Male,CRAFTSMAN/BLUE COLLAR,,3000,52,52,3,,11,1989,198900,1,,,,,,1990,Saturday,0,42026,1,0:00:00,0
casual socks,,,,False,,11 to 15,Evan Picone,,,,True,,,Livingston,NJ,COM,False,False,False,Married,False,True,True,True,True,True,False,True,True,$75;000-$99;999,$200;000-$224;999,,,single family dwelling,0% (NO LOANS),False,Owner,True,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $100;000-$149;999,,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $150;000-$199;999,False,Female,,Male,,,,42,52,4,,15,1975,197500,2,4,3,5,,,1975,Saturday,3,42038,22,0:10:53,0
hosiery,Epilady,,,False,business dress,15 or more,Hanes,,,e-mail,True,every 6 months,,Troy,MI,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,3,42046,10,0:10:59,0
,Epilady,,,False,very casual,1 to 5,Hot Sox,,,other,False,every 6 months,,Sarasota,FL,COM,False,False,False,Married,False,True,True,True,True,False,False,False,True,$40;000-$49;999,,,FULL SIZE (STANDARD/LUXURY),,,False,,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,,Male,RELIGIOUS,,5000,28,30,2,,2,,,1,,2,,,,1996,Saturday,4,42054,19,0:11:03,0
trouser socks,eShave,,,False,very casual,6 to 10,Hanes,,,other,True,,,Naples,FL,COM,False,False,False,Married,True,True,True,True,False,False,False,False,False,$75;000-$99;999,,,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,CLERICAL/WHITE COLLAR,Male,ADMINISTRATIVE/MANAGERIAL,,,68,72,5,,14,,,,,,,,,1981,Saturday,5,42066,6,0:04:21,0
casual socks,Conair,,,False,very casual,11 to 15,Hanes,,,friend / family,False,every 6 months,,Beltrami,MN,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,5,42074,16,0:12:11,0
athletic socks,TendSkin,,,False,comfortable / athletic,11 to 15,American Essentials,,,friend / family,True,every 6 months,,winter springs,FL,COM,False,False,False,Married,False,True,True,True,True,True,False,False,False,$20;000-$29;999,$75;000-$99;999,,IMPORT (STANDARD/ECONOMY),single family dwelling,60-69%,False,Owner,True,True,True,False,False,True,False,True,False,True,False,False,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,1;750-1;999 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Male,RETIRED,Female,RETIRED,,4000,72,66,3,1977,11,1988,198808,1,3,3,6,8,8,1977,Saturday,5,42078,1,0:00:00,0
hosiery,Dr\. Schon,,,False,business dress,15 or more,Hanes,,,print ad,True,once a year,,Staten Island,NY,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,5,42086,45,0:41:34,0
trouser socks,Natural Line,,,False,very casual,,Hanes,,,e-mail,True,,,Mahomet,IL,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,6,42102,29,0:18:50,0
hosiery,Nature Made,,,False,business dress,,Hanes,,,print ad,True,every 6 months,,APO,NY,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,6,42106,20,0:18:31,0
athletic socks,Juvena,,,False,very casual,6 to 10,Hanes,,,friend / family,True,every 6 months,,Colorado Springs,CO,COM,False,False,False,Inferred Married,False,True,True,True,True,True,False,False,True,$20;000-$29;999,$75;000-$99;999,True,FULL SIZE (STANDARD/LUXURY),,,False,Owner,True,True,True,False,True,False,True,True,False,False,True,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,Male,PROFESSIONAL/TECHNICAL,,3000,46,46,3,,8,1992,199200,1,,5,,,,1902,Saturday,6,42110,2,0:00:35,0
athletic socks,Nature Made,,,False,very casual,15 or more,Hanes,spouse,,e-mail,False,every 6 months,,Wichita,KS,COM,False,False,False,Married,True,True,True,True,False,True,True,False,True,$75;000-$99;999,$100;000-$124;999,,,,,False,Owner,True,True,True,False,True,False,True,True,False,False,True,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,PROFESSIONAL/TECHNICAL,Male,PROFESSIONAL/TECHNICAL,,,48,52,3,,9,1991,199100,1,,9,,,,1987,Saturday,7,42118,12,0:03:20,0
